,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
62,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,0,Bernoulli,2917.605130026013,LS-Num,16.48977762668066,1.4526719418214107,2.110255770555188,0.09660582111117935
63,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,0,Bernoulli,2917.605130026013,DM,5.031688155212225,-10.005417529647023,100.10837994256794,-0.6653818719729692
64,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,0,Bernoulli,2917.605130026013,DM($0.75$),6.9522146895763,-8.084890995282949,65.36546240560732,-0.5376627101466452
65,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,1,Bernoulli,2629.5376280420883,SNIPE(1),16.3694506605776,1.3323449757183496,1.7751431343219297,0.08860381802462677
66,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,1,Bernoulli,2629.5376280420883,LS-Prop,13.132380092173516,-1.9047255926857325,3.627979583432015,-0.12666836508328772
67,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,1,Bernoulli,2629.5376280420883,LS-Num,16.4347203629482,1.397614678088953,1.9533267884096874,0.09294439417927353
68,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,1,Bernoulli,2629.5376280420883,DM,5.054916119891455,-9.982189564967793,99.64410851095191,-0.66383716216205
69,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,1,Bernoulli,2629.5376280420883,DM($0.75$),4.449277804273899,-10.58782788058535,112.10209922890046,-0.7041134179994595
70,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,0,Bernoulli,692.3847946493003,SNIPE(1),15.28530941464026,0.32857257766306347,0.10795993879214988,0.021968199430422622
71,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,0,Bernoulli,692.3847946493003,LS-Prop,13.093517453583072,-1.8632193833941244,3.471586470655581,-0.12457392302228185
72,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,0,Bernoulli,692.3847946493003,LS-Num,16.373095172885915,1.4163583359087184,2.006070935698114,0.09469701522106669
73,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,0,Bernoulli,692.3847946493003,DM,4.9612648893371665,-9.99547194764003,99.90945945605878,-0.6682922924022073
74,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,0,Bernoulli,692.3847946493003,DM($0.75$),6.775177618627942,-8.181559218349253,66.93791124335564,-0.5470149877961463
75,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,1,Bernoulli,778.6448504564847,SNIPE(1),15.192075325458818,0.23533848848162187,0.055384204160814465,0.01573461451162261
76,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,1,Bernoulli,778.6448504564847,LS-Prop,12.836893139567728,-2.1198436974094683,4.493737301446646,-0.14173169726224155
77,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,1,Bernoulli,778.6448504564847,LS-Num,16.231749562058447,1.2750127250812504,1.6256574491191162,0.08524671784884694
78,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,1,Bernoulli,778.6448504564847,DM,4.982868604541706,-9.973868232435489,99.47804751798583,-0.6668478787282881
79,0.2,2,20000,1,20000-1,14.956736836977196,45402.23892349627,1,Bernoulli,778.6448504564847,DM($0.75$),6.090791105227614,-8.865945731749584,78.60499371832866,-0.5927727303345012
80,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,0,Bernoulli,510.85526070854723,SNIPE(1),14.645652351193005,-0.3358087764047699,0.11276753431046875,-0.02241495495964456
81,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,0,Bernoulli,510.85526070854723,LS-Prop,13.19297539992115,-1.7884857276766262,3.198681198102991,-0.11937992646004372
82,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,0,Bernoulli,510.85526070854723,LS-Num,16.517574245827106,1.5361131182293306,2.3596435119962376,0.10253426586006441
83,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,0,Bernoulli,510.85526070854723,DM,4.953263081624185,-10.028198045973589,100.56475604926851,-0.6693738321357962
84,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,0,Bernoulli,510.85526070854723,DM($0.75$),6.5836794463371096,-8.397781681260666,70.52273716611721,-0.5605449034467589
85,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,1,Bernoulli,493.28259119982124,SNIPE(1),14.045643538231586,-0.9358175893661898,0.8757545605671465,-0.06246504138653696
86,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,1,Bernoulli,493.28259119982124,LS-Prop,13.286083996325667,-1.6953771312721084,2.874303617240444,-0.11316500552466181
